pygame 2.6.0 (SDL 2.28.4, Python 3.10.12)
Hello from the pygame community. https://www.pygame.org/contribute.html
         559548 function calls (554776 primitive calls) in 16.212 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      118    0.000    0.000    0.000    0.000 {built-in method builtins.any}
    88/45    0.000    0.000    0.000    0.000 typing.py:1247(__hash__)
      139    0.000    0.000    0.000    0.000 typing.py:137(_type_convert)
        1    0.000    0.000    0.000    0.000 tokenize.py:297(detect_encoding)
        7    0.000    0.000    0.003    0.000 enum.py:536(_convert_)
        2    0.000    0.000    0.004    0.002 version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       78    0.000    0.000    0.001    0.000 linecache.py:26(getline)
      112    0.000    0.000    0.000    0.000 pyparsing.py:363(__new__)
       36    0.000    0.000    0.000    0.000 pyparsing.py:3781(__str__)
       71    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       26    0.000    0.000    0.002    0.000 pyparsing.py:1047(extract_stack)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
      574    0.000    0.000    0.000    0.000 __init__.py:2109(__bool__)
       48    0.000    0.000    0.000    0.000 pyparsing.py:1948(__or__)
    54/10    0.000    0.000    0.001    0.000 pyparsing.py:3762(streamline)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
    23/10    0.000    0.000    0.001    0.000 pyparsing.py:3547(parseImpl)
       17    0.000    0.000    0.000    0.000 typing.py:1223(__getitem__)
      170    0.000    0.000    0.000    0.000 pyparsing.py:2061(setWhitespaceChars)
       26    0.000    0.000    0.000    0.000 linecache.py:52(checkcache)
      133    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        7    0.000    0.000    0.000    0.000 asteroidfield.py:21(<lambda>)
        1    0.000    0.000    0.001    0.001 quoprimime.py:1(<module>)
    19/11    0.000    0.000    0.049    0.004 {built-in method builtins.__import__}
   227/98    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       76    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
       80    0.000    0.000    0.034    0.000 re.py:249(compile)
      125    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       61    0.000    0.000    0.002    0.000 pyparsing.py:3292(<listcomp>)
      133    0.000    0.000    0.000    0.000 abc.py:117(__instancecheck__)
   134/74    0.000    0.000    0.000    0.000 typing.py:1037(__hash__)
       13    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      249    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        2    0.000    0.000    0.010    0.005 utils.py:1(<module>)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
      319    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
       76    0.000    0.000    0.000    0.000 signal.py:9(<lambda>)
      188    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
